id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
1,2005-10-24,476315.91,8,4,1921,1856,3,0,0,3,7,1864,87,1979,2010,98001,47.34186004879012,-122.18317611987212
2,1937-07-18,698980.64,4,4,1503,6659,2,0,1,1,7,2177,100,1937,0,98010,47.53296680756843,-122.02611557245764
3,2008-08-01,663024.75,3,3,3494,3112,2,0,3,4,12,2030,1084,1968,1989,98006,47.34544415833488,-121.63541792792046
4,2011-08-31,629698.77,8,1,2618,8264,1,0,2,4,7,1576,1108,1911,1999,98010,47.74957250784963,-121.79462741452372
5,2011-02-26,658139.54,1,2,1661,3386,1,0,3,3,2,517,816,1900,0,98001,47.7379839348014,-121.70180567995602
6,1961-11-02,387724.59,3,5,1044,4835,2,0,4,1,12,1362,1616,1933,0,98005,47.58665356097872,-121.82529235805329
7,1990-01-31,627083.61,1,1,3167,1576,3,1,0,2,6,3787,407,1929,0,98008,47.73114561701269,-121.60583768802913
8,2000-11-21,568546.1,1,6,4127,6630,2,0,1,1,8,1749,709,1966,2021,98002,47.1746492224168,-122.38344883730205
9,1988-07-09,500275.67,5,5,1275,9344,1,0,3,1,8,4106,547,1971,0,98009,47.596393309656676,-121.61811757937792
10,2017-07-16,489512.52,3,1,2697,1536,2,0,4,2,8,3163,392,1976,0,98002,47.25213098009887,-121.9756953433285
11,2011-05-27,609765.94,6,6,4098,7694,2,0,2,4,6,3349,1329,1964,0,98006,47.74512442311721,-122.35940953149343
12,2006-09-17,510937.39,8,2,4246,7576,2,0,0,2,13,1806,126,1961,1997,98007,47.064200116105916,-121.98565762327831
13,2015-06-10,507987.25,6,5,4752,4270,3,1,3,1,11,4352,1697,1994,2014,98001,47.46244757355249,-122.15527814748239
14,1930-06-25,489598.22,6,5,1752,7176,1,1,1,2,1,1760,1250,1914,2004,98009,47.54585645141442,-122.31619812501756
15,2007-01-08,573702.43,4,3,4626,1692,2,0,4,1,9,1285,1061,1977,0,98002,47.27345245428868,-122.49368456094857
16,2002-09-02,532511.54,8,4,3687,8204,2,0,4,5,8,2865,218,1930,1973,98002,47.09398623456648,-122.30722396053912
17,2024-02-26,613840.73,6,3,981,1953,2,0,0,1,5,3955,683,2022,2022,98010,47.58288986832384,-122.11101986374494
18,2017-10-13,587251.63,5,3,4018,4662,3,1,0,5,9,4189,1495,2015,2015,98006,47.37063234482087,-121.69621870159737
19,2001-12-26,678945.37,2,2,3617,5191,1,0,0,4,13,1998,1525,2001,0,98005,47.23058170120408,-122.59562286026086
20,2010-07-11,388737.21,4,4,2946,5494,2,0,3,4,11,2546,1254,2008,2020,98005,47.593820882579024,-122.58844996789459
21,1987-10-20,548889.49,3,5,2796,3007,1,1,0,5,8,4166,1228,1975,0,98006,47.06108874636261,-122.49063376917728
22,1921-06-19,508646.12,3,4,3075,1356,3,0,2,3,9,4308,9,1918,1923,98009,47.40980099721297,-122.52625667771626
23,1984-07-07,478483.69,6,4,3134,8452,2,1,4,1,11,3327,815,1930,0,98005,47.08575719443216,-121.90469805150674
24,1923-04-13,481254.73,2,3,2511,3040,1,0,1,3,8,4104,1974,1906,1915,98005,47.277928798527064,-121.85853411452348
25,1959-10-13,538709.14,1,5,3236,3403,1,1,0,2,7,4140,1108,1903,1961,98008,47.75083829742626,-122.12359106213515
26,1999-01-08,540506.52,8,5,1956,5728,1,1,2,5,6,2060,1945,1999,0,98002,47.45717571107,-121.95317227475539
27,1951-12-27,555943.45,2,5,3385,4791,2,0,4,3,10,813,1026,1927,0,98007,47.76490780799423,-121.73862926284282
28,2004-02-29,428164.1,2,4,3871,5639,2,0,0,1,8,595,111,2003,2018,98003,47.713524224423544,-122.31185552034883
29,1985-12-02,373784.56,7,6,4142,8751,3,1,4,2,2,2408,1638,1951,1983,98010,47.07804109989434,-122.27672461511966
30,1978-05-07,507854.28,5,6,2636,3181,1,0,4,5,1,3476,860,1976,0,98007,47.57774206914587,-121.97639336005815
31,1928-04-29,476825.58,7,6,1449,6230,2,0,3,2,2,2429,508,1916,2011,98004,47.137919285786005,-122.34404841486202
32,2013-06-18,350280.19,8,1,2896,4103,2,1,4,1,6,2967,219,1972,1978,98005,47.273645488487595,-122.54093295166238
33,1995-11-29,425628.22,4,2,4259,2581,3,0,0,1,1,564,237,1926,0,98008,47.09199675151563,-122.09918293249265
34,1988-09-10,515216.55,7,5,1503,7419,3,1,1,2,5,1218,489,1971,1997,98007,47.72726828976488,-122.58317530100848
35,2022-07-11,463768.1,2,6,4615,2456,1,1,4,3,7,3538,534,2000,0,98009,47.38267321601197,-122.12585992700294
36,2000-03-09,454413.54,4,5,3934,4532,2,1,1,2,2,3345,1966,1996,0,98005,47.4558421355322,-121.80338879643567
37,2021-06-15,704122.33,3,6,1215,7698,3,1,4,3,13,1091,1043,1957,0,98010,47.48815300112837,-121.67007000282898
38,2010-01-06,448751.19,3,5,2492,1548,1,0,1,4,7,2787,1718,1991,0,98004,47.24127225956848,-122.36260491044578
39,1986-02-13,529711.65,6,3,3090,3513,3,1,0,1,1,1687,1884,1969,0,98003,47.320721030137044,-121.93717001813427
40,2011-11-10,745206.23,6,4,2718,8012,3,0,4,4,2,1138,1068,1921,0,98006,47.29861012870674,-121.85173734726533
41,2011-05-26,448224.62,3,4,2729,9170,3,1,0,4,8,4240,352,1983,0,98007,47.25615802111348,-122.18963497829714
42,1991-11-17,503969.89,1,2,3689,7988,2,0,4,5,10,1114,1579,1976,0,98004,47.7431084037572,-122.2951186477983
43,1943-11-14,185829.42,2,3,3646,4911,2,1,2,2,6,2112,341,1932,0,98002,47.13650083201306,-122.12285636797591
44,1942-12-27,489876.75,1,4,2583,1523,3,1,0,2,11,1805,1100,1920,0,98009,47.28167172060744,-122.4567880901041
45,2024-08-14,463065.4,7,3,2279,4951,1,0,0,4,3,1612,659,2005,2022,98005,47.783797383187036,-122.26156547170619
46,2018-03-28,632895.96,3,2,1339,8612,2,1,1,1,5,2571,712,1992,0,98004,47.02102683230873,-122.37400563606802
47,2016-09-20,605119.36,4,5,2930,8461,1,1,2,1,5,4295,904,2014,0,98009,47.47453628094631,-121.90172959025588
48,1989-09-17,494493.88,1,6,3833,2264,1,1,3,1,7,1534,222,1974,0,98004,47.50162715729692,-122.08378044827154
49,2017-12-02,479748.85,1,2,2153,7587,2,1,2,3,3,3046,692,1961,0,98007,47.43319486238819,-121.65617731557934
50,1943-01-23,305922.75,6,6,979,5762,2,0,2,5,2,3616,439,1932,2009,98003,47.54070588545264,-122.45251186799705
51,2013-06-08,489459.8,7,1,1727,3358,2,1,0,1,5,3835,442,2006,2010,98002,47.29293246197513,-122.16607742641436
52,1945-07-27,324205.4,6,6,1149,9109,1,0,0,2,11,2916,1805,1919,1951,98003,47.01427219300386,-121.69236262590364
53,2012-06-03,291878.1,3,6,3394,6178,3,1,0,3,4,3507,727,1914,0,98008,47.441701868102435,-121.7834416520756
54,1974-10-25,340542.83,4,3,1051,3009,1,1,2,3,8,2026,1208,1950,0,98008,47.351455895929355,-122.24510947074609
55,2023-12-14,611776.51,7,1,1671,3167,3,0,3,3,10,4045,110,1972,0,98003,47.76283782477391,-122.28731493412403
56,1959-01-19,415746.59,7,2,1311,1070,3,1,4,3,1,2167,1980,1948,0,98001,47.345235714995134,-122.29847766090614
57,1922-01-12,474332.59,5,5,3677,1092,1,0,4,1,3,792,546,1902,1980,98007,47.69059207915802,-122.30337166983183
58,2003-03-10,452123.39,4,1,4591,5372,3,0,2,5,2,731,1253,1978,2017,98006,47.792637485228475,-122.0353877738681
59,1995-01-15,682643.38,4,6,2730,5285,1,1,1,1,3,1381,659,1991,0,98005,47.49943492606057,-121.71874168616927
60,2014-10-13,325530.02,3,4,1985,6495,2,1,4,4,12,4101,1761,1911,0,98002,47.51620019501505,-122.57704732235158
61,1976-12-27,608504.66,6,2,2558,1527,3,0,3,4,13,4113,1010,1942,0,98004,47.56462143570552,-122.2904947059539
62,1968-02-13,221667.09,4,6,4385,9875,3,0,1,4,9,628,907,1942,1962,98005,47.53177532767553,-122.01620641195038
63,2009-12-29,285937.77,4,5,3883,4392,3,0,1,1,11,2898,1089,2005,0,98010,47.29619670594029,-122.46914218754868
64,1983-07-07,491078.28,4,5,3209,6627,2,1,0,2,9,3426,1603,1922,1988,98010,47.7186313314548,-122.19183620536766
65,2021-02-12,518739.28,3,5,4368,4955,1,1,0,4,8,3904,1519,2007,0,98009,47.007353134401264,-122.16656205610323
66,1953-01-06,516998.11,5,1,4659,4318,3,1,1,3,13,2665,1835,1930,0,98005,47.186103398104976,-122.5019314243397
67,2004-06-18,359253.0,2,6,4323,8415,3,0,0,1,4,1609,785,1937,0,98006,47.43436649129133,-122.29265912759348
68,2021-10-11,509928.03,4,4,3991,4577,3,0,4,2,12,989,1428,1937,1966,98005,47.31283549051999,-121.72448486493771
69,1970-12-17,441229.77,8,3,4666,2653,1,1,0,5,3,2577,1857,1927,0,98005,47.6643316918381,-122.28894921180992
70,1998-06-28,376808.11,4,3,1374,3842,3,0,2,2,2,2890,1270,1979,2022,98005,47.71209454865728,-121.84842039020667
71,2020-03-19,516542.85,3,5,4020,5224,1,0,4,1,12,1578,1811,1950,0,98004,47.246333107772934,-122.24567165102525
72,1996-07-06,577580.91,2,5,4180,2473,1,0,0,5,9,4265,4,1988,2013,98003,47.497905120133865,-121.82171123186951
73,2009-03-15,532254.14,4,1,1400,6914,3,1,3,5,3,1921,80,1902,0,98009,47.031204119559625,-122.04260042535454
74,2003-11-27,711693.15,5,4,1248,1565,3,1,2,1,13,979,1097,1996,0,98010,47.23201771386605,-122.56031649946911
75,1976-12-23,277011.76,8,1,1415,6184,2,1,1,2,3,1453,497,1970,0,98002,47.30194153884215,-122.5569019978251
76,1959-10-07,586364.87,7,6,1874,1775,2,1,1,4,9,2351,1427,1938,0,98003,47.67224945893771,-121.67983435821424
77,1982-03-12,551076.39,2,2,3357,8449,3,1,4,3,6,1573,799,1950,0,98005,47.164803750717525,-122.02954180783692
78,2018-04-03,530870.42,1,6,2751,6404,2,1,0,5,1,2090,1499,2018,0,98001,47.01421995005249,-122.14317052870695
79,2019-03-30,529141.41,1,1,1539,9983,2,0,3,3,12,1498,1403,1997,2009,98001,47.37756155787755,-122.52867462160859
80,2003-07-15,479072.4,5,2,997,8919,2,0,4,1,7,4258,15,1994,0,98010,47.62226288267217,-121.9797627004845
81,2024-12-01,551694.15,6,2,2921,4512,2,1,3,1,3,4391,1220,2019,2023,98001,47.21416408481628,-122.33748209069492
82,2020-06-29,613328.77,8,4,3041,1614,3,0,1,5,1,3960,682,1974,0,98001,47.31020890700676,-121.92050676671983
83,1983-09-19,616253.49,1,4,847,6684,3,0,4,2,9,1390,1324,1903,1903,98010,47.69171209874041,-122.38717251766032
84,1960-09-06,636841.05,3,5,4493,4399,3,0,2,1,11,3398,1114,1958,1995,98002,47.364256527099386,-121.89388142863643
85,2017-10-16,454121.18,8,4,3526,8540,3,1,1,3,8,1229,93,2005,0,98007,47.08436371234945,-121.87438541057463
86,1918-10-21,493970.32,8,2,2859,4609,2,0,3,3,10,665,1288,1901,1971,98003,47.58554745553154,-121.93095915961618
87,2017-08-05,423515.95,3,5,2838,7937,1,0,3,4,11,2426,896,1910,0,98007,47.51596620354831,-122.2217210392063
88,2024-08-09,529922.21,1,4,3490,1400,3,1,1,3,9,2770,363,2024,2024,98007,47.04834183254602,-121.70678130761358
89,1996-10-03,543753.61,3,4,1115,7684,2,1,2,5,10,637,448,1955,0,98004,47.040649986600165,-122.08401432990429
90,1957-05-31,407035.44,1,2,2197,1022,1,0,3,2,7,1944,1165,1943,0,98009,47.249370408205614,-121.84136170303397
91,2005-03-04,328669.77,3,4,1506,4340,2,0,3,4,6,1590,1020,1988,0,98007,47.453272246661946,-121.94076040589118
92,1941-02-20,632207.26,8,4,3163,5408,1,1,1,3,7,2553,322,1939,0,98010,47.72446037596709,-122.57215144449384
93,2009-08-12,625423.03,2,6,3667,9206,2,1,3,5,3,2600,827,1990,2008,98009,47.58699595035814,-121.627848853249
